municipality,state,Country,admin_scale,lat,lng,passed,policy_summary,range,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO
Solano County,California,United States,County,38.2218938,-121.9163555,TRUE,,2,Eviction Protection,https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/solano-supervisors-to-consider-moratorium-on-evictions-due-to-covid-19/,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",-0.5,0,0,0,0,0,0,2,-0.5,-2,0,USA
Dallas County,Texas,United States,County,32.7620405,-96.7790069,TRUE,"Advises the Dallas County Justices of the Peace to suspend eviction hearings
and writs of possession for at least the next 60 days to prevent renters from
being displaced and to prevent the potential spread of COVID-19.",2,,https://www.dallascounty.org/Assets/uploads/docs/judge-jenkins/covid-19/March18-AmendedOrder-SummaryofChanges.pdf,,Eviction Cases & Enforcement Suspended,"The Texas Supreme Court has suspended all eviction proceedings and hearings until 4/30/20. New filings are accepted but issuances of service and citation may not occur until 4/30/20. Execution of writ of possessions may be issued but the written warning and execution may not occur until after 5/7/20 However, there are limited exceptions, evictions can proceed if the occupants ""are engaging in criminal activity"" or ""pose an imminent physical threat.""",-1,0,0,0,0,0,0,2,0,-3,0,USA
Marin County,California,United States,County,38.0409144,-122.6199638,TRUE,,1,Eviction Protection,https://www.marincounty.org/-/media/files/departments/cd/housing/landlord-and-tenant-resources/r202027complete-accessible.pdf?la=en,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",3,0,0,0,0,0,0,4,0,-2,1,USA
Anaheim,California,United States,City,33.8347516,-117.911732,TRUE,,2,Eviction Protection,https://www.anaheim.net/DocumentCenter/View/30818/Eviction-Moratorium-Fact-Sheet-3-24-20-English-and-Spanish,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",1,0,0,0,0,-1,0,4,-1,-2,1,USA
Arizona,Arizona,United States,State,34.395342,-111.7632755,TRUE,"Governor Ducey signed Executive Order 2020-14, titled â€œPostponement of Eviction Actions,â€
which permits tenants to delay removal from their residence by the constable or a law
enforcement officer beginning March 24, 2020 if the tenant provides the landlord written notice
of a qualifying circumstance that exists at the time of the notice.",2,,https://www.azcourts.gov/Portals/34/20200429EvictionGuidanceFinal.pdf,,COVID-19 Related Eviction Cases Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show 1) that they have suffered a substantial loss of income due to COVID-19, 2) that they or a family member have been ordered to stay in quarantine by a medical professional, or 3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court. However, Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants. The state supreme court has tolled all eviction deadlines to 5/1/20.",-1.5,0,0,0,0,0,0,2,0,-3.5,0,USA
Franklin County,Ohio,United States,County,40.0283162,-83.0076657,TRUE,,1,,http://www.fcmcclerk.com/documents/court/2020-4-6_Administrative%20Order%2007-2020.pdf,,Local Discretion,"The Supreme Court of Ohio tolled all court deadlines until the earlier of the end of the emergency or 7/30/20. The court also issued guidance (as opposed to an order) to local courts that suggested courts could temporarily continue eviction filings, pending eviction proceedings, scheduled move-outs, and the execution of foreclosure judgements (except in the instances where allegations of domestic violence are involved). However, the determination of how to restrict access to the court is left to local jurisdiction. Several municipal courts have ordered the suspension of evictions. Both the governor and the Supreme Court recently issued orders tolling court deadlines; in its guidance as to how this applies to evictions, the Supreme Court states, ""Nothing in the legislation or the Supreme Court’s order prevents the filing of an eviction action during the emergency period."" The Governor issued an emergency order ""requesting"" that landlords of commercial properties suspend rent payments and evictions and that lenders provide mortgage forbearance.",6,0,0,0,0,0,0,2,0,4,0,USA
Sioux Falls,South Dakota,United States,City,43.5499749,-96.700327,FALSE,"The One Sioux Falls Fund was created to help local residents negatively impacted by COVID-19 in the Sioux Falls area. The fund is set up in collaboration with the Sioux Falls Area Community Foundation. The goal of the fund is to help residents in the Sioux Falls MSA (Minnehaha, Lincoln, McCook and Turner counties) avoid evictions and financial hardships if they are unable to work due to COVID-19 and if they are unable to qualify for federal or state assistance. Applicants will be required to demonstrate financial impact with appropriate documentation.",2,Renter Relief,https://www.siouxfalls.org/news/2020/03/17/relief-fund,,Local Discretion,"The Supreme Court of the State of South Dakota declared a judicial emergency and authorized circuit courts to adoopt, modify or suspend court rules to prevent the spread of COVID-19. None of the circuit court orders suspend evictions or civil proceedings generally. The Governor has explicitly stated that she will not consider an eviction or utility shutoff moratorium. One of South Dakota's largest utilities provider has implemented a moratorium on service disconnections for nonpayment, as have the cities of Brookings, Rapid City and Sioux Falls. Finally, the city of Sioux Falls has established a fund to help residents adversely affected by COVID-19; the Sioux Falls Metropolitan Statistical Area (Minnehaha, Lincoln, McCook and Turner counties) has done similarly, to help residents avoid ""evictions and financial hardships.""",1.5,0,0,0,0,0,0,2,0,-0.5,0,USA
Atlanta,Georgia,United States,City,33.7490987,-84.3901849,TRUE,"The mayor issued this order to the Atlanta Housing Authority, Atlanta Beltline, Fulton County/City of Atlanta Land Bank Authority, Invest Atlanta, Partners for Home, and the city's Department of Grants and Community Development.",2,Eviction Protection,https://www.atlantaga.gov/Home/ShowDocument?id=45422,,Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",1,0,0,0,0,0,0,2,0,-1,0,USA
Virginia,Virginia,United States,State,37.1232245,-78.4927721,TRUE,,2,,http://www.vacourts.gov/news/items/covid/2020_0422_scv_order_extending_declaration_of_judicial_emergency.pdf,,Eviction Cases Suspended,"The Supreme Court of Virginia continued all eviction proceedings until April 26, 2020. The Governor directed state agencies to assist Virginians in avoiding evictions and foreclosures. The Attorney General has sent warning letters to landlords thretening to evict tenants during the COVID-19 pandemic.",2,0,0,0,0,0,0,2,0,0,0,USA
Richmond,California,United States,City,37.9357576,-122.3477486,TRUE,"The city has placed a moratorium on all no-fault evictions, except those deemed necessary for health and safety, and on evictions for non-payment of rent for tenants who have lost income because of the pandemicâ€”for example, because their hours were cut, their business closed, they were laid off, or they have extreme medical costs related to COVID-19.",2,Eviction Protection,http://www.ci.richmond.ca.us/DocumentCenter/View/52484/20-20-reso-temporary-moratorium-on-evictions-for-non-payment---COVID-19---Issued-3-17-2020,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",2,0,0,0,0,-1,0,4,0,-2,1,USA
Los Angeles County,California,United States,County,34.3155072,-118.2096814,TRUE,,2,Eviction Protection,http://file.lacounty.gov/SDSInter/bos/supdocs/145198.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",0.5,0,0,0,0,0,0,4,-0.5,-2,-1,USA
Little Rock,Arkansas,United States,City,34.7464809,-92.2895948,TRUE,The Metropolitan Housing Alliance has announced that public housing residents and Section 8 tenants in Little Rock will not be evicted during this time period. The housing agency will work with property management companies on rent forbearance. The housing agency is also not terminating anyone using Section 8 vouchers for housing.,2,Eviction Protection,https://www.nwaonline.com/news/2020/mar/18/lr-agency-won-t-evict-public-housing-te/,,Civil Cases Suspended,"Arkansas has suspended all in-person proceedings, subject to exceptions that don't include eviction, but has urged judges to conduct matters that they can remotely.",-0.5,0,0,0,0,0,0,2,0,-2.5,0,USA
Thousand Oaks,California,United States,City,34.17142715,-118.910587729744,TRUE,The city has placed a moratorium on evictions for non-payment of rent by tenants who can't afford to pay because of the pandemic.,2,Eviction Protection,https://www.toaks.org/home/showdocument?id=26004,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",2,0,0,0,0,-1,0,4,0,-2,1,USA
Elk Grove,California,United States,City,38.4087993,-121.3716178,TRUE,"Moratorium on tenant evictions for residential and commercial renters. It applies to tenants who have suffered a household or business income loss of 20% or have had to pay 20% of their income in medical bills as a result of COVID-19. Elk Grove businesses with at least $25 million in gross sales would not qualify for the protection, excluding franchisees. If a renter does qualify for protection, they must still pay what they can reasonably pay at the time rent is due. The protections allow tenants who can show that they have been affected by the coronavirus up to 120 days to pay rent after the end of the emergency order. The tenant must tell their landlord of their situation before rent is due. The city also will not shut off waste or drainage services for late payments.",3,Eviction Protection,http://www.elkgrovecity.org/UserFiles/Servers/Server_109585/File/City%20Government/City%20Council/Ordinances/2020/03-25-2020_3.2_08-2020.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",-4,0,0,0,0,-1,0,0,-1,-2,0,USA
Laguna Beach,California,United States,City,33.5426975,-117.7853665,TRUE,,2,Eviction Protection,http://www.lagunabeachcity.net/civicax/filebank/blobdload.aspx?t=73327.19&BlobID=24464,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",2,0,0,0,0,-1,0,4,0,-2,1,USA
Oxnard,California,United States,City,34.1976308,-119.1803818,TRUE,The city has placed a moratorium on evictions for non-payment of rent for tenants who have lost income or incurred extreme out-of-pocket medical expenses because of the pandemic.,1,Eviction Protection,https://www.oxnard.org/wp-content/uploads/2020/03/2020.03.19-Director-Oder-20-01.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",3,0,0,0,0,0,0,4,0,-2,1,USA
Ojai,California,United States,City,34.4480495,-119.242889,TRUE,"The city has created an affirmative defense for evictions for non-payment of rent for tenants who can't afford to pay because of the pandemicâ€”for example, because their hours were cut, their business closed, they were laid off, or they have extreme medical costs related to COVID-19.",2,Eviction Protection,http://ojaicity.org/city-orders-a-residential-eviction-moratorium/,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",-1,0,0,0,0,-1,0,2,0,-2,0,USA
San Jose,California,United States,City,37.3361905,-121.8905833,TRUE,,2,Eviction Protection,https://www.sanjoseca.gov/your-government/departments-offices/housing/covid-19-resources/eviction-moratorium,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",0,0,0,0,0,0,0,2,0,-2,0,USA
Mission Viejo,California,United States,City,33.5965685,-117.659405,TRUE,,2,Eviction Protection,https://cityofmissionviejo.org/sites/default/files/City-Council-Ord-20-337-Prohibiting-or-Limiting-Residential-and-Commercial-Evictions.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",-3,0,0,0,0,-1,0,0,0,-2,0,USA
Vallejo,California,United States,City,38.1040864,-122.2566367,TRUE,,2,Eviction Protection,https://www.cityofvallejo.net/common/pages/DisplayFile.aspx?itemId=16557076,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",0,0,0,0,0,0,0,2,0,-2,0,USA
Buena Park,California,United States,City,33.870413,-117.9962165,TRUE,,2,Eviction Protection,http://www.buenapark.com/home/showdocument?id=17701,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",2,0,0,0,0,-1,0,4,0,-2,1,USA
