municipality,state,Country,admin_scale,lat,lng,passed,policy_summary,range,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO
Texas,Texas,NA,State,31.434703,-99.281824,TRUE,NA,3,NA,https://www.txcourts.gov/media/1446315/209051.pdf,NA,Eviction Cases & Enforcement Suspended,"The Texas Supreme Court has suspended all eviction proceedings and hearings until 4/30/20. New filings are accepted but issuances of service and citation may not occur until 4/30/20. Execution of writ of possessions may be issued but the written warning and execution may not occur until after 5/7/20 However, there are limited exceptions, evictions can proceed if the occupants ""are engaging in criminal activity"" or ""pose an imminent physical threat.""",1,0,0,2,0,0,0,2,0,-3,0,NA
Solano County,California,NA,County,NA,NA,TRUE,NA,1,Eviction Protection,https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/solano-supervisors-to-consider-moratorium-on-evictions-due-to-covid-19/,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",13.5,10,2,2,0,0,0,2,-0.5,-2,0,NA
Dallas County,Texas,NA,County,32.781179,-96.790329,TRUE,"Advises the Dallas County Justices of the Peace to suspend eviction hearings
and writs of possession for at least the next 60 days to prevent renters from
being displaced and to prevent the potential spread of COVID-19.",3,NA,https://www.dallascounty.org/Assets/uploads/docs/judge-jenkins/covid-19/March18-AmendedOrder-SummaryofChanges.pdf,NA,Eviction Cases & Enforcement Suspended,"The Texas Supreme Court has suspended all eviction proceedings and hearings until 4/30/20. New filings are accepted but issuances of service and citation may not occur until 4/30/20. Execution of writ of possessions may be issued but the written warning and execution may not occur until after 5/7/20 However, there are limited exceptions, evictions can proceed if the occupants ""are engaging in criminal activity"" or ""pose an imminent physical threat.""",1,0,0,2,0,0,0,2,0,-3,0,NA
Marin County,California,NA,County,36.6844,-121.80217,TRUE,NA,2,Eviction Protection,https://www.marincounty.org/-/media/files/departments/cd/housing/landlord-and-tenant-resources/r202027complete-accessible.pdf?la=en,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",9.5,8,2,-3.5,0,0,0,4,0,-2,1,NA
Anaheim,California,NA,City,33.844983,-117.952151,TRUE,NA,2,Eviction Protection,https://www.anaheim.net/DocumentCenter/View/30818/Eviction-Moratorium-Fact-Sheet-3-24-20-English-and-Spanish,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",5.5,8,2,-3.5,-2,-1,0,4,-1,-2,1,NA
Arizona,Arizona,NA,State,34.203936,-111.606357,TRUE,"Governor Ducey signed Executive Order 2020-14, titled â€œPostponement of Eviction Actions,â€
which permits tenants to delay removal from their residence by the constable or a law
enforcement officer beginning March 24, 2020 if the tenant provides the landlord written notice
of a qualifying circumstance that exists at the time of the notice.",3,NA,https://www.azcourts.gov/Portals/34/20200429EvictionGuidanceFinal.pdf,NA,COVID-19 Related Eviction Cases Suspended,"The Governor has issued a stay on executing all evictions statewide for tenants who can show 1) that they have suffered a substantial loss of income due to COVID-19, 2) that they or a family member have been ordered to stay in quarantine by a medical professional, or 3) that they have a health condition that makes them more at risk to COVID-19. Evictions proceedings are managed by each Superior Court at the local level. So while evictions actions can't be executed, they can still be filed and managed in court. However, Mohave County Court has allowed judges to delay eviction cases if needed. In Phoenix, all city-owned housing is prohibited from evicting tenants. The state supreme court has tolled all eviction deadlines to 5/1/20.",0.5,0,0,2,0,0,0,2,0,-3.5,0,NA
Franklin County,Ohio,NA,County,39.55895,-84.30411,TRUE,NA,2,NA,http://www.fcmcclerk.com/documents/court/2020-4-6_Administrative%20Order%2007-2020.pdf,NA,Local Discretion,"The Supreme Court of Ohio tolled all court deadlines until the earlier of the end of the emergency or 7/30/20. The court also issued guidance (as opposed to an order) to local courts that suggested courts could temporarily continue eviction filings, pending eviction proceedings, scheduled move-outs, and the execution of foreclosure judgements (except in the instances where allegations of domestic violence are involved). However, the determination of how to restrict access to the court is left to local jurisdiction. Several municipal courts have ordered the suspension of evictions. Both the governor and the Supreme Court recently issued orders tolling court deadlines; in its guidance as to how this applies to evictions, the Supreme Court states, ""Nothing in the legislation or the Supreme Court’s order prevents the filing of an eviction action during the emergency period."" The Governor issued an emergency order ""requesting"" that landlords of commercial properties suspend rent payments and evictions and that lenders provide mortgage forbearance.",7,0,0,1,0,0,0,2,0,4,0,NA
Sioux Falls,South Dakota,NA,City,43.546358,-96.69063,FALSE,"The One Sioux Falls Fund was created to help local residents negatively impacted by COVID-19 in the Sioux Falls area. The fund is set up in collaboration with the Sioux Falls Area Community Foundation. The goal of the fund is to help residents in the Sioux Falls MSA (Minnehaha, Lincoln, McCook and Turner counties) avoid evictions and financial hardships if they are unable to work due to COVID-19 and if they are unable to qualify for federal or state assistance. Applicants will be required to demonstrate financial impact with appropriate documentation.",3,Renter Relief,https://www.siouxfalls.org/news/2020/03/17/relief-fund,NA,Local Discretion,"The Supreme Court of the State of South Dakota declared a judicial emergency and authorized circuit courts to adoopt, modify or suspend court rules to prevent the spread of COVID-19. None of the circuit court orders suspend evictions or civil proceedings generally. The Governor has explicitly stated that she will not consider an eviction or utility shutoff moratorium. One of South Dakota's largest utilities provider has implemented a moratorium on service disconnections for nonpayment, as have the cities of Brookings, Rapid City and Sioux Falls. Finally, the city of Sioux Falls has established a fund to help residents adversely affected by COVID-19; the Sioux Falls Metropolitan Statistical Area (Minnehaha, Lincoln, McCook and Turner counties) has done similarly, to help residents avoid ""evictions and financial hardships.""",1.5,0,0,0,0,0,0,2,0,-0.5,0,NA
Atlanta,Georgia,NA,City,33.844371,-84.47405,TRUE,"The mayor issued this order to the Atlanta Housing Authority, Atlanta Beltline, Fulton County/City of Atlanta Land Bank Authority, Invest Atlanta, Partners for Home, and the city's Department of Grants and Community Development.",1,Eviction Protection,https://www.atlantaga.gov/Home/ShowDocument?id=45422,NA,Local Discretion,"Georgia's Supreme Court has issued guidance that courts are to prioritize essential functions from March 14, 2020 to April 13th, 2020 and conduct video proceedings wherever possible. Each circuit, municipal and magistrate court had a slightly different version and date range for adopting this ruling.",15,8,5,1,0,0,0,2,0,-1,0,NA
Virginia,Virginia,NA,State,37.522251,-78.668194,TRUE,NA,2,NA,http://www.vacourts.gov/news/items/covid/2020_0422_scv_order_extending_declaration_of_judicial_emergency.pdf,NA,Eviction Cases Suspended,"The Supreme Court of Virginia continued all eviction proceedings until April 26, 2020. The Governor directed state agencies to assist Virginians in avoiding evictions and foreclosures. The Attorney General has sent warning letters to landlords thretening to evict tenants during the COVID-19 pandemic.",5,0,0,3,0,0,0,2,0,0,0,NA
Richmond,California,NA,City,37.947523,-122.384032,TRUE,"The city has placed a moratorium on all no-fault evictions, except those deemed necessary for health and safety, and on evictions for non-payment of rent for tenants who have lost income because of the pandemicâ€”for example, because their hours were cut, their business closed, they were laid off, or they have extreme medical costs related to COVID-19.",2,Eviction Protection,http://www.ci.richmond.ca.us/DocumentCenter/View/52484/20-20-reso-temporary-moratorium-on-evictions-for-non-payment---COVID-19---Issued-3-17-2020,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",10.5,8,4,-3.5,0,-1,0,4,0,-2,1,NA
Los Angeles County,California,NA,County,33.973951,-118.248405,TRUE,NA,1,Eviction Protection,http://file.lacounty.gov/SDSInter/bos/supdocs/145198.pdf,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",17,8,4.5,4,0,0,0,4,-0.5,-2,-1,NA
Little Rock,Arkansas,NA,City,34.746905,-92.280049,TRUE,The Metropolitan Housing Alliance has announced that public housing residents and Section 8 tenants in Little Rock will not be evicted during this time period. The housing agency will work with property management companies on rent forbearance. The housing agency is also not terminating anyone using Section 8 vouchers for housing.,3,Eviction Protection,https://www.nwaonline.com/news/2020/mar/18/lr-agency-won-t-evict-public-housing-te/,NA,Civil Cases Suspended,"Arkansas has suspended all in-person proceedings, subject to exceptions that don't include eviction, but has urged judges to conduct matters that they can remotely.",1.5,0,0,1,1,0,0,2,0,-2.5,0,NA
Thousand Oaks,California,NA,City,34.032383,-119.1343,TRUE,The city has placed a moratorium on evictions for non-payment of rent by tenants who can't afford to pay because of the pandemic.,2,Eviction Protection,https://www.toaks.org/home/showdocument?id=26004,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8.5,8,2,-3.5,0,-1,0,4,0,-2,1,NA
Elk Grove,California,NA,City,38.44148,-121.307142,TRUE,"Moratorium on tenant evictions for residential and commercial renters. It applies to tenants who have suffered a household or business income loss of 20% or have had to pay 20% of their income in medical bills as a result of COVID-19. Elk Grove businesses with at least $25 million in gross sales would not qualify for the protection, excluding franchisees. If a renter does qualify for protection, they must still pay what they can reasonably pay at the time rent is due. The protections allow tenants who can show that they have been affected by the coronavirus up to 120 days to pay rent after the end of the emergency order. The tenant must tell their landlord of their situation before rent is due. The city also will not shut off waste or drainage services for late payments.",2,Eviction Protection,http://www.elkgrovecity.org/UserFiles/Servers/Server_109585/File/City%20Government/City%20Council/Ordinances/2020/03-25-2020_3.2_08-2020.pdf,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",5,8,2,-2,1,-1,0,0,-1,-2,0,NA
Laguna Beach,California,NA,City,33.520941,-117.741315,TRUE,NA,2,Eviction Protection,http://www.lagunabeachcity.net/civicax/filebank/blobdload.aspx?t=73327.19&BlobID=24464,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8.5,8,2,-3.5,0,-1,0,4,0,-2,1,NA
Oxnard,California,NA,City,34.205247,-119.174092,TRUE,The city has placed a moratorium on evictions for non-payment of rent for tenants who have lost income or incurred extreme out-of-pocket medical expenses because of the pandemic.,2,Eviction Protection,https://www.oxnard.org/wp-content/uploads/2020/03/2020.03.19-Director-Oder-20-01.pdf,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",9.5,8,2,-3.5,0,0,0,4,0,-2,1,NA
Ojai,California,NA,City,34.5302,-119.310134,TRUE,"The city has created an affirmative defense for evictions for non-payment of rent for tenants who can't afford to pay because of the pandemicâ€”for example, because their hours were cut, their business closed, they were laid off, or they have extreme medical costs related to COVID-19.",2,Eviction Protection,http://ojaicity.org/city-orders-a-residential-eviction-moratorium/,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,-1,0,-1,0,2,0,-2,0,NA
San Jose,California,NA,City,37.189396,-121.705327,TRUE,NA,2,Eviction Protection,https://www.sanjoseca.gov/your-government/departments-offices/housing/covid-19-resources/eviction-moratorium,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8.5,10,2,-3.5,0,0,0,2,0,-2,0,NA
Mission Viejo,California,NA,City,33.640302,-117.769442,TRUE,NA,2,Eviction Protection,https://cityofmissionviejo.org/sites/default/files/City-Council-Ord-20-337-Prohibiting-or-Limiting-Residential-and-Commercial-Evictions.pdf,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",5.5,8,4,-3.5,0,-1,0,0,0,-2,0,NA
Vallejo,California,NA,City,38.18735,-122.224074,TRUE,NA,2,Eviction Protection,https://www.cityofvallejo.net/common/pages/DisplayFile.aspx?itemId=16557076,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",9,8,2,-1,0,0,0,2,0,-2,0,NA
Buena Park,California,NA,City,33.846302,-118.012225,TRUE,NA,2,Eviction Protection,http://www.buenapark.com/home/showdocument?id=17701,NA,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8.5,8,2,-3.5,0,-1,0,4,0,-2,1,NA
